"","Date","eur_close","MNB","ECB","mean_kinfo","mean_matolcsy","mean_nagy","mean_varga","max_kinfo","max_matolcsy","max_nagy","max_varga","eurczk","eurpln","eurron","cetop","FED","BUX"
"104",2018-10-23,322.53,0.009,0,0,0,0,0,0,0,0,0,25.7656002044678,4.29540014266968,4.66270017623901,2040.8538572753,0.0225,37485.014647
"105",2018-10-24,323.367,0.009,0,0,0,0,0,0,0,0,0,25.8554000854492,4.30981016159058,4.65119981765747,1995.92978423238,0.0225,36452.735668
"106",2018-10-25,323.838,0.009,0,0,0,0,0,0,0,0,0,25.8490009307861,4.31110000610352,4.6577000617981,1986.84368861693,0.0225,36617.54194
"107",2018-10-29,323.784,0.009,0,0,0,0,0,0,0,0,0,25.8117008209229,4.31010007858276,4.65689992904663,1970.62568715986,0.0225,36110.122384
"108",2018-10-30,324.378,0.009,0,0,0,0,0,0,0,0,0,25.8577003479004,4.32410001754761,4.66079998016357,1981.59668163386,0.0225,36444.724934
"109",2018-10-31,324.25,0.009,0,0,0,0,0,0,0,0,0,25.8759002685547,4.33050012588501,4.66239976882935,2013.27811798175,0.0225,37155.20613
"110",2018-11-01,324.348,0.009,0,0,0,0,0,0,0,0,0,25.9216003417969,4.34096002578735,4.65819978713989,2013.27811798175,0.0225,37155.20613
"111",2018-11-02,322.534,0.009,0,0,0,0,0,0,0,0,0,25.8120994567871,4.32055997848511,4.65799999237061,2013.27811798175,0.0225,37155.20613
"112",2018-11-05,321.243,0.009,0,0,0,0,0,0,0,0,0,25.7957000732422,4.30471992492676,4.65899991989136,2061.55462612415,0.0225,37794.869699
"113",2018-11-06,321.866,0.009,0,0,0,0,0,0,0,0,0,25.789400100708,4.3030800819397,4.65609979629517,2055.53004635279,0.0225,37666.00074
"114",2018-11-07,321.525,0.009,0,0,0,0,0,0,0,0,0,25.8439998626709,4.30270004272461,4.65889978408813,2091.35272069821,0.0225,38197.997237
"115",2018-11-08,321.044,0.009,0,0,0,0,0,0,0,0,0,25.8701000213623,4.28739976882935,4.65570020675659,2095.81058203863,0.0225,38713.445604
"116",2018-11-09,320.629,0.009,0,0,0,0,0,0,0,0,0,25.8603992462158,4.27809000015259,4.64779996871948,2087.51565172546,0.0225,38586.626778
"117",2018-11-12,321.222,0.009,0,0,0,0,0,0,0,0,0,25.9284992218018,4.28756999969482,4.65439987182617,2074.42673812805,0.0225,38108.455459
"118",2018-11-13,322.066,0.009,0,0,0,0,0,0,0,0,0,25.9171009063721,4.30420017242432,4.65059995651245,2069.37519813146,0.0225,38252.647278
"119",2018-11-14,322.563,0.009,0,0,0,0,0,0,0,0,0,25.9277000427246,4.2913498878479,4.65140008926392,2080.01361347901,0.0225,39115.558172
"120",2018-11-15,322.084,0.009,0,0,0,0,-0.00096836766351771,0,0,0,-0.00096836766351771,25.9983005523682,4.29409980773926,4.65590000152588,2065.08030393908,0.0225,39070.966594
"121",2018-11-16,321.646,0.009,0,0,0,0,0,0,0,0,0,25.9967002868652,4.28550004959106,4.66079998016357,2048.30449020016,0.0225,39328.385846
"122",2018-11-19,321.357,0.009,0,0,0,0,0,0,0,0,0,25.9719009399414,4.31626987457275,4.66419982910156,2052.45894559804,0.0225,39323.012303
"123",2018-11-20,320.892,0.009,0,0,0,0,0,0,0,0,0,26.0053997039795,4.3289098739624,4.67239999771118,2035.17931284633,0.0225,39058.304467
"124",2018-11-21,321.106,0.009,0,0,0,0,0,0,0,0,0,26.007999420166,4.30972003936768,4.65939998626709,2069.04150679911,0.0225,39431.330292
"125",2018-11-22,321.442,0.009,0,0,0,0,0,0,0,0,0,25.9841995239258,4.30179977416992,4.65719985961914,2071.89655041938,0.0225,39489.376177
"126",2018-11-23,320.886,0.009,0,0,0,0,0,0,0,0,0,25.9778995513916,4.29390001296997,4.65259981155396,2064.96081024601,0.0225,39379.776143
"127",2018-11-26,321.997,0.009,0,0,0,0,0,0,0,0,0,25.8978004455566,4.29112005233765,4.65619993209839,2062.049246299,0.0225,39598.285987
"128",2018-11-27,323.476,0.009,0,0,0,0,0,0,0,0,0,25.915599822998,4.29530000686646,4.65420007705688,2068.39783789101,0.0225,39601.697739
"129",2018-11-28,323.726,0.009,0,0,0,0,0,0,0,0,0,25.9071998596191,4.29260015487671,4.65320014953613,2087.28603912134,0.0225,39656.246318
"130",2018-11-29,323.364,0.009,0,0,0,0,0,0,0,0,0,25.9228992462158,4.2859001159668,4.65859985351562,2108.6677992614,0.0225,39861.633883
"131",2018-11-30,323.306,0.009,0,0,0,0,0,0,0,0,0,25.9407005310059,4.28700017929077,4.65129995346069,2105.42689166911,0.0225,40109.365846
"132",2018-12-03,323.373,0.009,0,0,0,0,0,0,0,0,0,25.9547996520996,4.28779983520508,4.65539979934692,2143.38315816887,0.0225,40579.821769
"133",2018-12-04,322.269,0.009,0,0,0,0,0,0,0,0,0,25.9169006347656,4.27601003646851,4.64419984817505,2143.81415739604,0.0225,40945.473846
"134",2018-12-05,323.317,0.009,0,0,0,0,0,0,0,0,0,25.9158000946045,4.2797999382019,4.64580011367798,2127.32057095254,0.0225,40670.444729
"135",2018-12-06,323.029,0.009,0,0,0,0,0,0,0,0,0,25.8950004577637,4.28151988983154,4.65000009536743,2087.28397168139,0.0225,39747.127212
"136",2018-12-07,322.681,0.009,0,0,0,0,0,0,0,0,0,25.8715000152588,4.28009986877441,4.64739990234375,2081.31291181594,0.0225,39384.555814
"137",2018-12-10,322.861,0.009,0,0,0,0,0,0,0,0,0,25.8561000823975,4.29062986373901,4.64330005645752,2051.55282334151,0.0225,39238.436
"138",2018-12-11,323.21,0.009,0,0,0,0,0,0,0,0,0,25.8567008972168,4.29409980773926,4.64750003814697,2045.72222007532,0.0225,39860.234132
"139",2018-12-12,323.403,0.009,0,0,0,0,0,0,0,0,0,25.8453998565674,4.29898023605347,4.64949989318848,2078.03068127161,0.0225,39887.220081
"140",2018-12-13,322.635,0.009,0,0,0,0,0,0,0,0,0,25.8362998962402,4.29013013839722,4.65290021896362,2092.44314774767,0.0225,40041.705002
"141",2018-12-14,323.121,0.009,0,0,0,0,0,0,0,0,0,25.8036003112793,4.29549980163574,4.64569997787476,2090.87820797607,0.0225,40125.721581
"142",2018-12-17,323.295,0.009,0,0,0,0,0,0,0,0,0,25.7649993896484,4.29029989242554,4.65560007095337,2079.25021802068,0.0225,39675.758934
"143",2018-12-18,323.211,0.009,0,0,0,0,0,0,0,0,0,25.7612991333008,4.28189992904663,4.64690017700195,2084.56378467181,0.0225,39475.606702
"144",2018-12-19,321.887,0.009,0,0,0,0,0,0,0,0,0,25.7250003814697,4.2844500541687,4.64079999923706,2055.14008693888,0.025,39966.192303
"145",2018-12-20,322.344,0.009,0,0,0,0,0,0,0,0,0,25.7353000640869,4.28900003433228,4.65530014038086,2027.51554723972,0.025,39592.67519
"146",2018-12-21,321.19,0.009,0,0,0,0,0,0,0,0,0,25.769100189209,4.28219985961914,4.63679981231689,1994.83631952356,0.025,39578.631666
"147",2018-12-24,321.706,0.009,0,0,0,0,0,0,0,0,0,25.8316993713379,4.28458023071289,4.63390016555786,1994.83631952356,0.025,39578.631666
"148",2018-12-25,320.964,0.009,0,0,0,0,0,0,0,0,0,25.8509006500244,4.28749990463257,4.63500022888184,1994.83631952356,0.025,39578.631666
"149",2018-12-26,321.069,0.009,0,0,0,0,0,0,0,0,0,25.8446998596191,4.2923002243042,4.64039993286133,1994.83631952356,0.025,39578.631666
"150",2018-12-27,321.038,0.009,0,0,0,0,0,0,0,0,0,25.9009990692139,4.28098011016846,4.63899993896484,2001.7556390393,0.025,39006.517116
"151",2018-12-28,320.71,0.009,0,0,0,0,-4.66260680695996e-05,0,0,0,-4.66260680695996e-05,25.8103008270264,4.29379987716675,4.65189981460571,2014.01594577191,0.025,39138.949175
"152",2018-12-31,321.382,0.009,0,0,0,0,0,0,0,0,0,25.7255992889404,4.29763984680176,4.65689992904663,2014.01594577191,0.025,39138.949175
"153",2019-01-01,320.603,0.009,0,0,0,0,0,0,0,0,0,25.6709003448486,4.29820013046265,4.64699983596802,2014.01594577191,0.025,39138.949175
"154",2019-01-02,320.854,0.009,0,0,0,0,0,0,0,0,0,25.7159996032715,4.28649997711182,4.68100023269653,2031.12103188314,0.025,39734.063647
"155",2019-01-03,322.228,0.009,0,0,0,0,0,0,0,0,0,25.7371006011963,4.29809999465942,4.65380001068115,2016.82612946531,0.025,39672.59696
"156",2019-01-04,320.663,0.009,0,0,0,0,0,0,0,0,0,25.6368007659912,4.28906011581421,4.65490007400513,2055.25561813861,0.025,40145.177282
"157",2019-01-07,320.572,0.009,0,0,0,0,0,0,0,0,0,25.5582008361816,4.29044008255005,4.6596999168396,2078.09439498928,0.025,40569.467563
"158",2019-01-08,320.812,0.009,0,0,0,0,0,0,0,0,0,25.5590991973877,4.29441976547241,4.65579986572266,2073.2529426135,0.025,40809.818929
"159",2019-01-09,321.364,0.009,0,0,0,0,0,0,0,0,0,25.6256999969482,4.29559993743896,4.66340017318726,2084.52742660927,0.025,40784.267503
"160",2019-01-10,320.912,0.009,0,0,0,0,0,0,0,0,0,25.6187000274658,4.30200004577637,4.66529989242554,2078.32099947861,0.025,40795.504604
"161",2019-01-11,320.899,0.009,0,0,0,0,0,0,0,0,0,25.5590991973877,4.29540014266968,4.67150020599365,2067.45014350738,0.025,40886.06399
"162",2019-01-14,320.897,0.009,0,0,0,0,-3.48745345047642e-05,0,0,0,-3.48745345047642e-05,25.5513000488281,4.28958988189697,4.68090009689331,2045.39017889834,0.025,40667.653555
"163",2019-01-15,321.419,0.009,0,0,0,0,0,0,0,0,0,25.5291004180908,4.28930997848511,4.67539978027344,2052.38991741616,0.025,40600.260096
"164",2019-01-16,322.805,0.009,0,0,0,0,0,0,0,0,0,25.5233001708984,4.29090023040771,4.6729998588562,2078.5332964563,0.025,40933.042611
"165",2019-01-17,321.028,0.009,0,0,0,0,0,0,0,0,0,25.5167007446289,4.28037023544312,4.68319988250732,2082.93951175368,0.025,41180.049004
"166",2019-01-18,319.211,0.009,0,0,0,0,0,0,0,0,0,25.5170001983643,4.2861499786377,4.68769979476929,2095.30876115446,0.025,41503.905444
"167",2019-01-21,317.601,0.009,0,0,0,0,0,0,0,0,0,25.5583000183105,4.28760004043579,4.70300006866455,2078.76358923828,0.025,40893.712713
"168",2019-01-22,317.323,0.009,0,0,0,0,0,0,0,0,0,25.5708999633789,4.28399991989136,4.70489978790283,2074.35149698439,0.025,40963.712341
