variable,sample_idx,pct_change,prediction
Y_-2,55,-0.09000000000000001,393.79367
Y_-2,56,-0.09000000000000001,392.9957
Y_-2,57,-0.09000000000000001,392.94907
Y_-2,58,-0.09000000000000001,392.78537
Y_-2,59,-0.09000000000000001,393.96152
Y_-2,60,-0.09000000000000001,393.24655
Y_-2,61,-0.09000000000000001,393.43204
Y_-2,62,-0.09000000000000001,393.96686
Y_-2,63,-0.09000000000000001,396.83023
Y_-2,64,-0.09000000000000001,397.10428
Y_-2,65,-0.09000000000000001,396.09067
Y_-2,66,-0.09000000000000001,395.57294
Y_-2,67,-0.09000000000000001,395.16913
Y_-2,68,-0.09000000000000001,394.61313
Y_-2,69,-0.09000000000000001,394.76465
Y_-2,70,-0.09000000000000001,394.5492
Y_-2,71,-0.09000000000000001,394.38876
Y_-2,72,-0.09000000000000001,393.28665
Y_-2,73,-0.09000000000000001,394.78412
Y_-2,74,-0.09000000000000001,394.55896
Y_-2,75,-0.09000000000000001,395.27783
Y_-2,76,-0.09000000000000001,395.9914
Y_-2,77,-0.09000000000000001,396.90073
Y_-2,78,-0.09000000000000001,397.08914
Y_-2,79,-0.09000000000000001,398.077
Y_-2,80,-0.09000000000000001,400.2369
Y_-2,81,-0.09000000000000001,401.79156
Y_-2,82,-0.09000000000000001,401.48056
Y_-2,83,-0.09000000000000001,402.04425
Y_-2,84,-0.09000000000000001,399.65585
Y_-2,85,-0.09000000000000001,399.2167
Y_-2,86,-0.09000000000000001,401.30093
Y_-2,87,-0.09000000000000001,401.63852
Y_-2,88,-0.09000000000000001,400.89713
Y_-2,89,-0.09000000000000001,400.28613
Y_-2,90,-0.09000000000000001,401.40036
Y_-2,91,-0.09000000000000001,400.39688
Y_-2,92,-0.09000000000000001,400.81503
Y_-2,93,-0.09000000000000001,401.56918
Y_-2,94,-0.09000000000000001,400.66586
Y_-2,95,-0.09000000000000001,403.2628
Y_-2,96,-0.09000000000000001,403.3264
Y_-2,97,-0.09000000000000001,403.87576
Y_-2,98,-0.09000000000000001,404.1632
Y_-2,99,-0.09000000000000001,405.39548
Y_-2,100,-0.09000000000000001,407.64902
Y_-2,101,-0.09000000000000001,408.26938
Y_-2,102,-0.09000000000000001,407.44427
Y_-2,103,-0.09000000000000001,407.84946
Y_-2,104,-0.09000000000000001,407.89078
Y_-2,105,-0.09000000000000001,408.8715
Y_-2,106,-0.09000000000000001,404.77737
Y_-2,107,-0.09000000000000001,406.73306
Y_-2,108,-0.09000000000000001,409.49185
Y_-2,109,-0.09000000000000001,410.17395
Y_-2,110,-0.09000000000000001,407.56418
Y_-2,111,-0.09000000000000001,406.30988
Y_-2,112,-0.09000000000000001,406.8784
Y_-2,113,-0.09000000000000001,406.26038
Y_-2,114,-0.09000000000000001,407.8889
Y_-2,115,-0.09000000000000001,409.20065
Y_-2,116,-0.09000000000000001,410.1976
Y_-2,117,-0.09000000000000001,410.3515
Y_-2,118,-0.09000000000000001,408.86807
Y_-2,119,-0.09000000000000001,409.6348
Y_-2,120,-0.09000000000000001,411.10043
Y_-2,121,-0.09000000000000001,411.31766
Y_-2,122,-0.09000000000000001,411.0579
Y_-2,123,-0.09000000000000001,412.7042
Y_-2,124,-0.09000000000000001,412.69543
Y_-2,125,-0.09000000000000001,411.66782
Y_-2,126,-0.09000000000000001,411.2972
Y_-2,127,-0.09000000000000001,411.93784
Y_-2,128,-0.09000000000000001,409.79288
Y_-2,129,-0.09000000000000001,409.20844
Y_-2,130,-0.09000000000000001,408.87747
Y_-2,131,-0.09000000000000001,408.33334
Y_-2,132,-0.09000000000000001,407.9072
Y_-2,133,-0.09000000000000001,408.19547
Y_-2,134,-0.09000000000000001,408.53787
Y_-2,135,-0.09000000000000001,411.44318
Y_-2,136,-0.09000000000000001,412.65363
Y_-2,137,-0.09000000000000001,412.0377
Y_-2,138,-0.09000000000000001,410.95804
Y_-2,139,-0.09000000000000001,409.22568
Y_-2,140,-0.09000000000000001,409.03012
Y_-2,141,-0.09000000000000001,409.3486
Y_-2,142,-0.09000000000000001,409.61905
Y_-2,143,-0.09000000000000001,410.11484
Y_-2,144,-0.09000000000000001,409.54272
Y_-2,145,-0.09000000000000001,411.19608
Y_-2,146,-0.09000000000000001,412.54593
Y_-2,147,-0.09000000000000001,413.43954
Y_-2,148,-0.09000000000000001,412.74966
Y_-2,149,-0.09000000000000001,412.35306
Y_-2,150,-0.09000000000000001,411.96188
Y_-2,151,-0.09000000000000001,411.30176
Y_-2,152,-0.09000000000000001,411.01334
Y_-2,153,-0.09000000000000001,410.67838
Y_-2,154,-0.09000000000000001,409.87802
Y_-2,155,-0.09000000000000001,410.8527
Y_-2,156,-0.09000000000000001,411.0862
Y_-2,157,-0.09000000000000001,409.89468
Y_-2,158,-0.09000000000000001,410.03104
Y_-2,159,-0.09000000000000001,409.44968
Y_-2,160,-0.09000000000000001,408.6591
Y_-2,161,-0.09000000000000001,406.89584
Y_-2,162,-0.09000000000000001,407.2101
Y_-2,163,-0.09000000000000001,406.55643
Y_-2,164,-0.09000000000000001,407.13156
Y_-2,165,-0.09000000000000001,405.8768
Y_-2,166,-0.09000000000000001,407.12943
Y_-2,167,-0.09000000000000001,407.56784
Y_-2,168,-0.09000000000000001,406.3232
Y_-2,169,-0.09000000000000001,405.29904
Y_-2,170,-0.09000000000000001,404.17697
Y_-2,171,-0.09000000000000001,403.41788
Y_-2,172,-0.09000000000000001,403.1587
Y_-2,173,-0.09000000000000001,402.44083
Y_-2,174,-0.09000000000000001,401.41342
Y_-2,0,-0.08000000000000002,395.6273
Y_-2,1,-0.08000000000000002,397.64584
Y_-2,2,-0.08000000000000002,398.61526
Y_-2,3,-0.08000000000000002,396.3477
Y_-2,4,-0.08000000000000002,394.5611
Y_-2,5,-0.08000000000000002,396.61423
Y_-2,6,-0.08000000000000002,397.28928
Y_-2,7,-0.08000000000000002,396.6313
Y_-2,8,-0.08000000000000002,395.5104
Y_-2,9,-0.08000000000000002,396.2167
Y_-2,10,-0.08000000000000002,397.32712
Y_-2,11,-0.08000000000000002,396.8889
Y_-2,12,-0.08000000000000002,395.34903
Y_-2,13,-0.08000000000000002,395.18564
Y_-2,14,-0.08000000000000002,395.20407
Y_-2,15,-0.08000000000000002,395.3113
Y_-2,16,-0.08000000000000002,393.51413
Y_-2,17,-0.08000000000000002,393.0544
Y_-2,18,-0.08000000000000002,394.9085
Y_-2,19,-0.08000000000000002,394.3472
Y_-2,20,-0.08000000000000002,393.74316
Y_-2,21,-0.08000000000000002,393.95325
Y_-2,22,-0.08000000000000002,392.55734
Y_-2,23,-0.08000000000000002,391.65228
Y_-2,24,-0.08000000000000002,392.49368
Y_-2,25,-0.08000000000000002,391.43216
