"","Date","eur_close","Fed","MNB","ECB","mean_matolcsy","mean_varga","mean_nagy","mean_kinfo","max_matolcsy","max_varga","max_nagy","max_kinfo"
"1419","2023-11-08","377.903","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1420","2023-11-09","378.802","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1421","2023-11-10","378.467","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1422","2023-11-13","376.697","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1423","2023-11-14","376.816","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1424","2023-11-15","375.514","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1425","2023-11-16","376.328","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1426","2023-11-17","376.351","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1427","2023-11-20","377.673","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1428","2023-11-21","379.572","0.0533","0.1225","0.0450","0","0","0","0","0","0","0","0"
"1429","2023-11-22","380.189","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1430","2023-11-23","380.902","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1431","2023-11-24","379.189","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1432","2023-11-27","378.745","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1433","2023-11-28","379.335","0.0533","0.1150","0.0450","0"," 0.254451960","0","0","0"," 0.254451960","0","0"
"1434","2023-11-29","377.101","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1435","2023-11-30","377.604","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1436","2023-12-01","379.957","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1437","2023-12-04","378.379","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1438","2023-12-05","379.545","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1439","2023-12-06","379.467","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1440","2023-12-07","379.975","0.0533","0.1150","0.0450","0"," 0.100448765"," 0.11244563","0","0"," 0.100448765"," 0.11244563","0"
"1441","2023-12-08","381.296","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1442","2023-12-11","379.879","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1443","2023-12-12","382.727","0.0533","0.1150","0.0450","0","0"," 0.20102715","0","0","0"," 0.20449995","0"
"1444","2023-12-13","381.848","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1445","2023-12-14","378.856","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1446","2023-12-15","379.248","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
"1447","2023-12-18","381.961","0.0533","0.1150","0.0450","0","0","0","0","0","0","0","0"
